
2024/04/02 (14:08:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (14:08:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/02 (14:08:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/02 (14:08:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/02 (16:38:02) | ===> btop++ v.1.3.2
2024/04/02 (16:38:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (16:38:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/02 (16:38:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (16:38:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/02 (16:38:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/02 (16:38:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/04/02 (16:38:04) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/02 (16:38:06) | ===> btop++ v.1.3.2
2024/04/02 (16:38:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (16:38:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/02 (16:38:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (16:38:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/02 (16:38:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/02 (16:38:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/02 (17:08:39) | ===> btop++ v.1.3.2
2024/04/02 (17:08:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (17:08:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/02 (17:08:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (17:08:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/02 (17:08:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/02 (17:08:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/02 (22:30:17) | ===> btop++ v.1.3.2
2024/04/02 (22:30:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (22:30:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/02 (22:30:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (22:30:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/02 (22:30:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/02 (22:30:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (11:50:10) | ===> btop++ v.1.3.2
2024/04/03 (11:50:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (11:50:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (11:50:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (11:50:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
